Rank,month1_01,month1_02,month1_03,month1_04,month1_05,month1_06,month1_07,month1_08,month1_09,month1_10
21,2015-01-oko-planet.su_1105,2015-01-rtr-vesti.ru_582,2015-01-itar-tass.com_4123,2015-01-versii.com_613,2015-01-segodnia.ru_1223,2015-01-ruscur.ru_42,2015-01-ria.ru_908,2015-01-vedomosti.ru_150,2015-01-ria.ru_1828,2015-01-ria.ru_6220
22,2015-01-km.ru_729,2015-01-oko-planet.su_307,2015-01-svpressa.ru_708,2015-01-ria.ru_2196,2015-01-segodnia.ru_1225,2015-01-sobesednik.ru_238,2015-01-rbc.ru_12,2015-01-charter97.org_159,2015-01-ria.ru_9258,2015-01-newsru.com_865
23,2015-01-oko-planet.su_138,2015-01-rus.newsru.ua_433,2015-01-rusplt.ru_12662,2015-01-ria.ru_7938,2015-01-segodnia.ru_485,2015-01-newsru.com_349,2015-01-itar-tass.com_5100,2015-01-charter97.org_2708,2015-01-ria.ru_1904,2015-01-rtr-vesti.ru_5357
24,2015-01-inosmi.ru_10,2015-01-fontanka.ru_198,2015-01-regnum.ru_3245,2015-01-ria.ru_5388,2015-01-segodnia.ru_484,2015-01-newsru.com_347,2015-01-rbc.ru_1401,2015-01-rus.newsru.ua_1121,2015-01-ria.ru_1482,2015-01-gazeta.ru_1859
25,2015-01-e-news.su_1921,2015-01-novayagazeta.ru_50,2015-01-rusplt.ru_7416,2015-01-ria.ru_6102,2015-01-segodnia.ru_1200,2015-01-newsru.com_292,2015-01-rbc.ru_4701,2015-01-newsru.com_1016,2015-01-ria.ru_1479,2015-01-topnews.ru_733
26,2015-01-topwar.ru_1352,2015-01-pravda.ru_155,2015-01-rusplt.ru_4598,2015-01-e-news.su_501,2015-01-segodnia.ru_120,2015-01-versii.com_123,2015-01-itar-tass.com_435,2015-01-newsru.com_575,2015-01-ria.ru_112,2015-01-vedomosti.ru_1739
27,2015-01-inosmi.ru_651,2015-01-ria.ru_4421,2015-01-rtr-vesti.ru_193,2015-01-fontanka.ru_1422,2015-01-segodnia.ru_5,2015-01-news.rambler.ru_258,2015-01-ria.ru_901,2015-01-rus.newsru.ua_218,2015-01-ria.ru_1476,2015-01-pravda.ru_1611
28,2015-01-inosmi.ru_364,2015-01-rtr-vesti.ru_1486,2015-01-itar-tass.com_3865,2015-01-ria.ru_9380,2015-01-segodnia.ru_1198,2015-01-news.rambler.ru_260,2015-01-sovsport.ru_3515,2015-01-rus.newsru.ua_1782,2015-01-ria.ru_1140,2015-01-ria.ru_8983
29,2015-01-sobesednik.ru_719,2015-01-interfax.ru_733,2015-01-rusplt.ru_8707,2015-01-versii.com_638,2015-01-segodnia.ru_1175,2015-01-interfax.ru_533,2015-01-gazeta.ru_358,2015-01-newsru.com_897,2015-01-ria.ru_1143,2015-01-itar-tass.com_6539
30,2015-01-inosmi.ru_193,2015-01-rtr-vesti.ru_1200,2015-01-rusplt.ru_10081,2015-01-fontanka.ru_1331,2015-01-segodnia.ru_1177,2015-01-newsru.com_761,2015-01-gazeta.ru_2663,2015-01-rus.newsru.ua_987,2015-01-ria.ru_1144,2015-01-regnum.ru_5208
31,2015-01-from-ua.com.ua_660,2015-01-rus.newsru.ua_533,2015-01-itar-tass.com_10388,2015-01-ria.ru_7593,2015-01-segodnia.ru_1178,2015-01-slon.ru_72,2015-01-ria.ru_402,2015-01-svobodanews.ru_125,2015-01-ria.ru_1145,2015-01-regnum.ru_6600
32,2015-01-svpressa.ru_21,2015-01-ria.ru_1437,2015-01-rusplt.ru_13632,2015-01-rtr-vesti.ru_4484,2015-01-segodnia.ru_1179,2015-01-ria.ru_2206,2015-01-rtr-vesti.ru_95,2015-01-rus.newsru.ua_1058,2015-01-ria.ru_1147,2015-01-newsru.com_360
33,2015-01-charter97.org_3344,2015-01-regnum.ru_1243,2015-01-regnum.ru_2258,2015-01-slon.ru_321,2015-01-segodnia.ru_510,2015-01-news.rambler.ru_262,2015-01-itar-tass.com_563,2015-01-rus.newsru.ua_1021,2015-01-ria.ru_7665,2015-01-itar-tass.com_6488
34,2015-01-oko-planet.su_2367,2015-01-ria.ru_3674,2015-01-itar-tass.com_391,2015-01-e-news.su_1154,2015-01-segodnia.ru_1180,2015-01-rusnovosti.ru_665,2015-01-gazeta.ru_1842,2015-01-rus.newsru.ua_1300,2015-01-ria.ru_7667,2015-01-rusplt.ru_9383
35,2015-01-inosmi.ru_562,2015-01-newsru.com_314,2015-01-rusplt.ru_2615,2015-01-ria.ru_4386,2015-01-segodnia.ru_1182,2015-01-ruscur.ru_39,2015-01-sovsport.ru_2658,2015-01-rus.newsru.ua_833,2015-01-ria.ru_7669,2015-01-vedomosti.ru_1057
36,2015-01-e-news.su_40,2015-01-rbc.ua_1025,2015-01-itar-tass.com_323,2015-01-novorus.info_240,2015-01-segodnia.ru_1183,2015-01-oko-planet.su_568,2015-01-gazeta.ru_5132,2015-01-rus.newsru.ua_290,2015-01-ria.ru_116,2015-01-rbc.ru_3991
